2026-05-08 12:40:17 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-module:Controller] Pipeline 1 completed shard 3 (1 batches, 12.23s)
2026-05-08 12:40:17 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-module:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 1 for shard 3 (1 batches)
2026-05-08 12:40:17 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [discussion1-rag-docs-tuning-module:QueryProcessingActor-1] Reusing existing inference engine (config hash: 7c4a54c9)
2026-05-08 12:40:26 | Controller | INFO | controller.py:1192 | [discussion1-rag-docs-tuning-module:Controller] Pipeline 2 completed all 4 shards
2026-05-08 12:40:26 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-module:Controller] Pipeline 2 completed shard 3 (1 batches, 10.24s)
2026-05-08 12:40:26 | Controller | INFO | controller.py:1192 | [discussion1-rag-docs-tuning-module:Controller] Pipeline 3 completed all 4 shards
2026-05-08 12:40:27 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-module:Controller] Pipeline 3 completed shard 3 (1 batches, 9.72s)
2026-05-08 12:40:27 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-module:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 0 for shard 3 (1 batches)
2026-05-08 12:40:27 | QueryProcessingActor-0 | INFO | query_actor.py:142 | [discussion1-rag-docs-tuning-module:QueryProcessingActor-0] Cleaning up old inference engine (hash: 7c4a54c9)
2026-05-08 12:40:27 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [discussion1-rag-docs-tuning-module:QueryProcessingActor-0] Initializing new inference engine (config hash: 56c87742)
2026-05-08 12:40:37 | Controller | INFO | controller.py:1192 | [discussion1-rag-docs-tuning-module:Controller] Pipeline 4 completed all 4 shards
2026-05-08 12:40:37 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-module:Controller] Pipeline 4 completed shard 3 (1 batches, 10.05s)
2026-05-08 12:40:37 | Controller | INFO | controller.py:1386 | [discussion1-rag-docs-tuning-module:Controller] All pipelines completed all shards!
2026-05-08 12:40:37 | Controller | INFO | controller.py:695 | [discussion1-rag-docs-tuning-module:Controller] Computing final metrics for all pipelines...
2026-05-08 12:40:38 | Experiment | INFO | metric_rfmetric_manager.py:190 | [discussion1-rag-docs-tuning-module:Experiment] Ending run: 66240c2f63fe4d128fd4349ed493d834, 1 in rf_mlflow
2026-05-08 12:40:38 | Experiment | WARNING | metric_mlflow_manager.py:101 | [discussion1-rag-docs-tuning-module:Experiment] Run 66240c2f63fe4d128fd4349ed493d834 is not the active run, no local context to clear
2026-05-08 12:40:38 | Controller | INFO | controller.py:853 | [discussion1-rag-docs-tuning-module:Controller] Pipeline 1 (Pipeline 1) completed successfully
